,Q1_1,Q1_2,Q1_4,Q3_1,Q3_2,Q3_3,Q9,Q2,Q8_1,Q8_2,Q8_99,Q6ax1_1,Q6ax3_2,Q7_1,Q7_2,Q7_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_8,Q14_99,Q15_2,Q15_3,Q15_5,Q15_7,Q15_8,Q15_10,Q15_99,Q10_2
317,1,0,0,0,1,0,Not at all familiar,"10,000-20,000",1,0,0,3.0,0.0,Strongly agree,Somewhat agree,Somewhat disagree,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
318,1,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
319,0,0,1,1,1,0,Very familiar,"Less than 10,000",0,0,1,0.0,0.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
320,1,0,0,0,0,1,Somewhat familiar,"10,000-20,000",0,0,1,4.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
322,0,1,0,0,1,0,Very familiar,"Less than 10,000",1,1,0,0.0,0.0,Strongly agree,Somewhat agree,Somewhat disagree,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
323,0,1,0,0,1,0,Somewhat familiar,"20,001-50,000",0,0,1,0.0,0.0,Somewhat disagree,Somewhat agree,Somewhat agree,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
324,0,1,0,1,1,0,Somewhat familiar,"Less than 10,000",1,1,0,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
325,0,1,0,0,1,0,Very familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
326,0,0,0,,,,Not at all familiar,,0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
327,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",0,0,1,3.0,0.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
328,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
329,1,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,3.0,0.0,Strongly disagree,Strongly disagree,Strongly disagree,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
330,0,0,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,5.0,Strongly agree,Somewhat agree,Strongly disagree,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
331,1,0,0,1,1,0,Somewhat familiar,"Less than 10,000",0,0,1,5.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
332,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,4.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
333,0,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,1,0,0.0,0.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
334,0,1,0,0,1,0,Very familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
335,0,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
336,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
337,1,0,0,1,1,0,Somewhat familiar,"10,000-20,000",1,1,0,3.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
338,1,1,0,1,1,0,Somewhat familiar,"10,000-20,000",0,0,1,2.0,0.0,Strongly agree,Neither agree nor disagree,Strongly agree,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
339,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",1,1,0,4.0,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
340,0,1,0,1,1,0,Very familiar,"20,001-50,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
341,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",1,1,0,4.0,0.0,Strongly disagree,Strongly disagree,Strongly disagree,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
342,0,1,0,1,0,0,Not at all familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
343,1,0,0,0,0,1,Not at all familiar,"10,000-20,000",0,0,1,2.0,0.0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
344,1,1,0,1,0,0,Somewhat familiar,"20,001-50,000",1,0,0,5.0,0.0,Somewhat agree,Strongly disagree,Somewhat agree,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
345,0,1,0,1,0,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Somewhat agree,Strongly disagree,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
346,1,0,0,0,0,0,Not at all familiar,"Less than 10,000",0,0,1,5.0,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
347,1,0,0,1,0,0,Not at all familiar,"10,000-20,000",1,0,0,2.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
348,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,5.0,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
349,0,0,1,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
351,1,1,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
352,1,1,0,0,1,0,Somewhat familiar,"Less than 10,000",1,1,0,5.0,0.0,Neither agree nor disagree,Somewhat agree,Strongly disagree,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
353,0,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
354,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,0,0,2.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
355,0,1,0,0,1,0,Very familiar,"20,001-50,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
356,1,0,0,1,0,1,Not at all familiar,"20,001-50,000",0,0,1,2.0,0.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
357,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
358,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,0,0,1.0,0.0,Strongly agree,Somewhat agree,Somewhat disagree,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
359,0,1,0,0,0,1,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Strongly disagree,Strongly disagree,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
360,1,0,0,1,0,0,Not at all familiar,"Less than 10,000",1,0,0,5.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
361,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,1.0,0.0,Strongly agree,Somewhat agree,Strongly disagree,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
362,0,1,0,1,0,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
363,1,0,0,0,0,0,Not at all familiar,"Less than 10,000",0,0,1,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
364,1,0,0,0,1,0,Somewhat familiar,"Less than 10,000",1,0,0,3.0,0.0,Somewhat agree,Strongly agree,Strongly agree,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
365,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,5.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
366,1,0,0,0,0,1,Not at all familiar,"Less than 10,000",0,0,1,4.0,0.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
367,0,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
368,1,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,1.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
369,1,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,5.0,0.0,Strongly agree,Strongly disagree,Strongly disagree,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
370,1,0,0,1,1,0,Not at all familiar,"20,001-50,000",0,0,1,5.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
371,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Strongly agree,Strongly disagree,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
372,0,1,0,1,1,0,Somewhat familiar,Unsure,1,0,0,0.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
373,0,1,0,0,0,1,Very familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
374,1,1,0,1,0,0,Somewhat familiar,"10,000-20,000",0,0,1,3.0,0.0,Somewhat agree,Strongly agree,Somewhat disagree,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
375,1,0,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
376,1,1,0,0,1,0,Very familiar,"20,001-50,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
377,1,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
378,1,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
379,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,4.0,0.0,Strongly agree,Somewhat agree,Strongly agree,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
380,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,0,0,3.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
381,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,5.0,0.0,Strongly agree,Somewhat disagree,Somewhat disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
382,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
383,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Strongly disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
384,1,1,0,1,1,0,Very familiar,"Less than 10,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
385,0,0,0,1,1,0,Very familiar,"Less than 10,000",1,1,0,0.0,4.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
386,0,1,0,0,0,1,Somewhat familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
387,1,0,0,0,1,0,Not at all familiar,"More than 50,000",0,0,1,2.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
388,1,0,0,1,0,0,Not at all familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
389,0,0,1,0,0,0,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
390,1,0,0,1,1,0,Somewhat familiar,"Less than 10,000",1,1,0,4.0,0.0,Strongly agree,Somewhat agree,Somewhat disagree,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
391,1,1,0,1,1,0,Very familiar,"More than 50,000",1,1,0,1.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
392,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,3.0,0.0,Strongly agree,Somewhat agree,Somewhat disagree,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
393,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,4.0,0.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
394,0,1,0,1,1,0,Very familiar,"20,001-50,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Strongly agree,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
395,1,0,0,0,0,1,Not at all familiar,"10,000-20,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
396,0,1,0,0,1,0,Somewhat familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly disagree,Strongly agree,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
397,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",1,0,0,4.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
398,1,0,0,1,1,0,Not at all familiar,"20,001-50,000",0,0,1,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
399,0,1,0,0,0,1,Very familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly disagree,Strongly agree,Neither agree nor disagree,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
400,1,0,0,1,1,0,Somewhat familiar,"10,000-20,000",1,1,0,5.0,5.0,Strongly agree,Strongly agree,Strongly agree,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
401,0,1,0,0,1,0,Somewhat familiar,"20,001-50,000",0,0,1,0.0,0.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
402,1,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
403,0,1,0,1,0,0,Somewhat familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
404,1,1,0,1,1,0,Somewhat familiar,"20,001-50,000",1,1,0,3.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
405,1,0,0,0,1,0,Very familiar,"More than 50,000",0,0,1,5.0,0.0,Strongly disagree,Strongly disagree,Strongly disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
406,0,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly disagree,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
407,0,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
408,0,1,0,1,0,0,Very familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
409,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,4.0,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
410,0,1,0,0,0,1,Very familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,1,0,0,1,0,Somewhat familiar,"Less than 10,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
412,0,1,0,1,0,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Somewhat disagree,Strongly agree,Somewhat agree,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
413,1,1,0,0,1,0,Not at all familiar,"20,001-50,000",1,0,0,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
414,1,1,0,1,0,0,Somewhat familiar,"20,001-50,000",1,0,0,4.0,0.0,Strongly agree,Somewhat agree,Strongly agree,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
415,0,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
416,0,1,0,0,1,0,Somewhat familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
417,1,1,0,1,1,0,Somewhat familiar,"20,001-50,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
418,0,1,0,1,1,0,Very familiar,"Less than 10,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
419,1,1,0,0,1,0,Somewhat familiar,"20,001-50,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
420,0,0,1,0,0,1,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
421,1,1,1,1,1,0,Very familiar,"20,001-50,000",1,0,0,5.0,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
422,1,1,0,0,1,0,Somewhat familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly agree,Somewhat agree,Strongly agree,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
423,1,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
424,0,1,0,1,0,0,Somewhat familiar,"Less than 10,000",1,1,0,0.0,0.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
425,1,0,0,0,1,0,Somewhat familiar,"10,000-20,000",1,1,0,1.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
426,1,0,1,1,1,0,Not at all familiar,"10,000-20,000",1,0,0,4.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
427,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",1,0,0,3.0,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
428,1,0,0,1,0,0,Not at all familiar,"10,000-20,000",0,0,1,4.0,0.0,Strongly agree,Strongly disagree,Strongly disagree,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
429,0,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
430,1,0,0,0,1,0,Very familiar,"Less than 10,000",0,0,1,3.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
431,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
432,0,0,1,0,1,0,Somewhat familiar,"10,000-20,000",0,0,1,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
433,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,5.0,0.0,Somewhat agree,Somewhat agree,Strongly agree,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
434,1,1,0,0,1,0,Somewhat familiar,"Less than 10,000",1,0,0,3.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
435,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
436,0,1,0,1,1,0,Not at all familiar,"Less than 10,000",1,1,0,0.0,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
437,1,0,0,1,0,0,Not at all familiar,"20,001-50,000",0,0,1,3.0,0.0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
438,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",1,0,0,3.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
439,1,1,0,0,1,0,Very familiar,"Less than 10,000",0,0,1,5.0,0.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
440,1,1,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,2.0,0.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
441,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",1,0,0,3.0,0.0,Strongly agree,Neither agree nor disagree,Somewhat disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
442,1,0,0,0,0,0,Not at all familiar,"10,000-20,000",0,0,1,3.0,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
443,0,1,0,1,0,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly disagree,Strongly agree,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
444,1,0,0,1,0,0,Very familiar,"10,000-20,000",1,0,0,2.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
445,0,1,0,0,0,1,Somewhat familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly disagree,Somewhat agree,Somewhat disagree,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
446,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,0.0,0.0,Somewhat disagree,Somewhat agree,Strongly disagree,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
447,1,0,0,0,1,0,Somewhat familiar,"Less than 10,000",1,0,0,4.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
448,1,0,0,1,1,0,Not at all familiar,"20,001-50,000",0,0,1,0.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
449,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0
450,1,1,0,1,1,0,Not at all familiar,"20,001-50,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
451,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
452,0,1,0,1,1,0,Somewhat familiar,"10,000-20,000",0,0,1,0.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
453,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
