,Q1_1,Q1_2,Q1_4,Q3_1,Q3_2,Q3_3,Q9,Q2,Q8_1,Q8_2,Q8_99,Q6ax1_1,Q6ax3_2,Q7_1,Q7_2,Q7_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_8,Q14_99,Q15_2,Q15_3,Q15_5,Q15_7,Q15_8,Q15_10,Q15_99,Q10_2
29,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,1,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,1,0,4.0,0.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
31,1,0,0,1,1,0,Somewhat familiar,"10,000-20,000",1,1,0,3.0,5.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
32,1,1,0,0,1,0,Very familiar,"20,001-50,000",1,1,0,4.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,0,1,1,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
35,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,4.0,0.0,Strongly agree,Somewhat agree,Strongly disagree,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
36,0,1,0,0,1,0,Very familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
37,1,0,0,0,1,0,Not at all familiar,"10,000-20,000",0,0,1,3.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
38,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
39,1,0,0,1,1,0,Somewhat familiar,"10,000-20,000",0,0,1,3.0,0.0,Strongly disagree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,4.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,1,0,0,1,1,0,Somewhat familiar,"20,001-50,000",1,0,0,0.0,0.0,Somewhat disagree,Somewhat agree,Strongly disagree,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
42,1,0,0,0,1,0,Somewhat familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat disagree,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
43,1,1,0,1,1,0,Very familiar,"10,000-20,000",0,0,1,4.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
